year,emig,er_phl,gdppc_phl,gdppc_usa,unemp_phl,unemp_usa,tax_phl,tax_usa,ln_emig,ln_er_phl,ln_gdppc_phl,ln_gdppc_usa,ln_unemp_phl,ln_unemp_usa,ln_tax_phl,ln_tax_usa
1991,43824,27.47863333,1656.383497,38449.88153,3.727,6.8,33.34247703,89.07857885,10.68793689,3.313408733,7.412391888,10.55711089,1.31560362,1.916922612,3.506832171,4.489518889
1992,46691,25.51249167,1624.349398,39256.04813,3.849,7.5,33.52962315,88.62365591,10.75130671,3.239168202,7.392862644,10.5778608,1.347813374,2.014903021,3.512429321,4.484398819
1993,44903,27.11984167,1620.355058,39807.8795,3.869,6.9,32.49554677,88.77145323,10.71225989,3.300265625,7.390400576,10.59182015,1.352996076,1.931521412,3.481103057,4.486065126
1994,40515,26.41716667,1654.746139,40907.01844,3.767,6.119,33.86778718,88.31249354,10.60942755,3.274014051,7.411402886,10.61905693,1.326278929,1.811398684,3.522464332,4.480881587
1995,34614,25.71446667,1693.808731,41507.91356,3.68,5.65,35.7999723,89.09431173,10.4520135,3.247053739,7.434734959,10.63363938,1.302912752,1.731655545,3.57794712,4.489695491
1996,41312,26.2161,1752.238001,42575.68969,3.607,5.451,37.06393689,90.23120569,10.62890829,3.266373726,7.468649108,10.6590387,1.282876402,1.695799078,3.612644445,4.502375328
1997,37002,29.47065833,1800.259131,43936.905,3.592,5,39.83113559,90.70345072,10.51872724,3.383395135,7.495685895,10.69050991,1.27870915,1.609437912,3.684648908,4.507595402
1998,24886,40.89305,1746.525905,45374.62152,3.697,4.511,43.95621542,91.036575,10.12206068,3.710960122,7.465383897,10.72270823,1.30752168,1.506518858,3.783194034,4.511261349
1999,24123,39.08898333,1759.421052,47004.46902,3.751,4.219,42.62890156,90.13109978,10.09092102,3.665840671,7.472740086,10.75799796,1.322022471,1.439598133,3.752532464,4.501265275
2000,31324,44.19225,1793.347611,48379.75517,3.77,3.992,44.05223615,91.15543422,10.35213986,3.788549434,7.491839326,10.78683672,1.327075001,1.384292358,3.785376115,4.512566118
2001,31287,50.99265,1807.708925,48361.01676,3.698,4.731,45.26157131,90.97572877,10.35095795,3.931681505,7.499815535,10.78644933,1.307792133,1.554136597,3.812458357,4.510592754
2002,36557,51.60356667,1837.254293,48729.15864,3.616,5.783,44.61939724,89.60337184,10.50662797,3.943590792,7.516027504,10.79403287,1.285368443,1.754922579,3.79816868,4.495392951
2003,33916,54.20333333,1892.82162,49662.75205,3.527,5.989,44.56758721,89.57249219,10.43164216,3.992742407,7.545823915,10.81301048,1.260447651,1.789924453,3.797006851,4.495048266
2004,42350,56.03991667,1978.344891,51098.5573,3.554,5.529,45.98284383,89.71187634,10.6537237,4.026064234,7.59001586,10.84151154,1.26807373,1.710006967,3.828268367,4.496603161
2005,40280,55.08549167,2037.877661,52393.45131,3.795,5.084,45.82406213,91.06840104,10.60361035,4.008886372,7.619664183,10.86653689,1.333684411,1.626098353,3.824809327,4.511610884
2006,49522,51.3142725,2110.420448,53335.5897,4.052,4.623,43.8416175,91.86740685,10.81017229,3.93796893,7.654642471,10.88435911,1.399210586,1.531043845,3.780583537,4.520346308
2007,46420,46.14839118,2209.346511,53889.3965,3.434,4.622,45.75966694,92.58956935,10.74548568,3.8318621,7.700452054,10.89468901,1.233725762,1.530827512,3.823403069,4.528176493
2008,34201,44.32328761,2264.946291,53442.71369,3.72,5.784,45.96234932,91.94544027,10.44001016,3.791510219,7.725306325,10.88636559,1.313723668,1.755095485,3.827822568,4.521195361
2009,40598,47.67968845,2256.725548,51611.32171,3.858,9.254,44.35375259,90.21259285,10.61147408,3.864505489,7.721670169,10.85149634,1.350148914,2.22505589,3.792197318,4.502169028
2010,42007,45.10966418,2373.143121,52555.76951,3.605,9.633,44.7327852,91.31987167,10.64559155,3.809096507,7.771970567,10.86963016,1.282321771,2.265194704,3.800706682,4.514368416
2011,38463,43.31313692,2416.752121,52956.66303,3.592,8.949,47.5813221,92.05219485,10.55745202,3.768455982,7.790179819,10.87722918,1.27870915,2.191541794,3.862440291,4.522355752
2012,39124,42.22879473,2533.74142,53738.14767,3.504,8.069,47.20507116,91.8565514,10.57449137,3.743102328,7.837452311,10.89187841,1.253905173,2.088029559,3.854501327,4.520228136
2013,38637,42.44618483,2654.415069,54462.62524,3.497,7.375,46.77724773,91.71181773,10.56196565,3.748237034,7.883979596,10.90526997,1.251905458,1.998095902,3.845396925,4.518651245
2014,39594,44.3951543,2776.920059,55394.45104,3.6,6.168,45.65955588,91.8988724,10.58643287,3.793130326,7.9290977,10.92223471,1.280933845,1.819374636,3.821212914,4.520688759
2015,40814,45.50283994,2909.85818,56572.9189,3.068,5.28,46.6104463,92.07902339,10.61678044,3.81777474,7.975859624,10.94328569,1.121025884,1.663926098,3.841824686,4.522647158
2016,41298,47.49246386,3076.337419,57151.47084,2.695,4.869,46.51694868,92.29269157,10.62856935,3.860571043,8.031495019,10.95346041,0.991398204,1.582888577,3.839816734,4.524964957
2017,34956,50.40371979,3247.450388,58151.70214,2.552,4.355,45.5526937,82.81215733,10.46184541,3.920064978,8.085625471,10.97081043,0.936877365,1.47132461,3.818869759,4.416574878
2018,35839,52.66142995,3410.93648,59526.6657,2.338,3.896,40.35299623,90.92620592,10.48679196,3.963883308,8.13474216,10.99417965,0.849295863,1.359950386,3.697665648,4.510048254
2019,32698,51.79578265,3575.881709,60750.98986,2.237,3.669,41.18700138,91.02346305,10.39506919,3.94730873,8.181967057,11.01453866,0.805135683,1.299919145,3.718122706,4.511117309
2020,6539,49.624096,3198.6669,59194.66652,2.522,8.055,41.74713024,91.95489252,8.785539528,3.904476522,8.070489408,10.98858672,0.925052238,2.086293017,3.731630712,4.521298158
2021,7122,49.25459773,3350.975876,62680.25036,3.398,5.349,38.55098269,92.29464437,8.870943864,3.897002718,8.117006889,11.04580169,1.223187023,1.676909628,3.651981591,4.524986116
2022,18560,54.47778584,3577.701366,63886.13171,2.598,3.65,38.41782559,92.84499213,9.828764006,3.997793019,8.182475797,11.06485759,0.954741918,1.294727168,3.64852156,4.530931351
2023,29502,55.63036322,3744.697638,65186.59772,2.2,3.638,40.94977306,92.91317795,10.29221334,4.018729153,8.228096155,11.08500917,0.78845736,1.29143408,3.712346268,4.531665487
