Country Name,Country Code,Series Name,Series Code,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Philippines,PHL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.3546103589205,12.8095883534011,13.5388730593237,13.6808811803346,14.0378887210762,14.2662552351009,14.8266416552207,14.8614949312421,13.6754637567029,12.8954370860496,12.440324756341,12.2655086469998,11.6681306910299,11.6664325949085,11.3644043893781,11.9242240624029,13.1273014401873,12.9604093017337,13.0335136905172,11.6989355673304,11.63527559371,11.8490007825541,12.3059271151495,12.7438220628562,13.0155171797493,13.0196105917208,13.0871006913218,13.5937937490496,14.0475332790366,14.4884730214742,13.9509857073772,14.1300039313539,14.6190058206626,14.1044353413959,..,..
United States,USA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,10.7488368815829,11.6186463229876,11.5423590501612,12.0038076635128,12.1383526516402,12.5505099560623,11.9786266418126,10.3482682349497,10.1597156537786,10.3842401634117,10.1630458873215,10.9488457256785,10.5959432728889,10.7824403801772,10.4652847558268,10.3203424286825,9.98416183728209,10.3049343163775,10.6235066354376,10.980989035111,11.373914577285,11.8281965458351,12.3298291446849,12.2599793135157,12.9708003629433,11.8577039046602,9.86801220227667,9.39069910317543,9.53747297857866,10.6817311353578,11.310475666951,11.2899135181825,10.2761909366076,7.90351822026163,8.56322576078511,9.5389309882013,9.763916029528,10.4835093346258,10.9354320229891,11.2374940636678,10.9182669054538,11.5834831642617,9.98924207356734,9.95830072560589,10.2949840532629,11.5735962955643,12.7967300718031,10.8130735453764,10.8905153823848,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,License URL
GC.TAX.TOTL.GD.ZS,CC BY-4.0,Tax revenue (% of GDP),"Taxes are compulsory, unrequited payments, in cash or in kind, made by institutional


units to government units. This indicator is expressed as a percentage of Gross Domestic Product (GDP) which is the total income earned through the production of goods and services in an economic territory during an accounting period.","Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector: Government finance: Revenue,WB_WDI,%,Annual,1972-2024,Weighted average,"Methodology: Government Finance statistics are compiled in accordance with international standards: Government Finance Statistics Manual, 2014 or 2001 editions. Specific information on how countries compile their Government Finance statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): Government Financial Statistics are compiled within a conceptual and reporting framework suitable for analyzing and evaluating fiscal policy, especially the performance of the general government sector and the broader public sector of any economy.","This indicator is related to Government finance statistics. Government finance statistics provide a detailed snapshot of a government's fiscal operations and health. They encompass data on revenue, expenditures, deficits, and debt levels, which are essential for crafting fiscal policy, budget planning, and economic forecasting. These statistics help policymakers manage public finances effectively, make informed decisions on taxation and spending, and set priorities for resource allocation. For investors, analysts, and the international community, government finance statistics serve as key indicators of a country's economic stability and creditworthiness. They also play a crucial role in ensuring transparency and accountability, as they allow citizens and oversight bodies to track how public funds are managed and spent, fostering democratic engagement and governance. More specifically, this indicator is related to the revenue side of government finance statistics. The revenue side of government finance statistics provides insight into the government's income streams, which include taxes, fees, fines, and revenues from state-owned entities. This data is crucial for evaluating the government's financial capabilities to fund public services and infrastructure projects. It also helps determining the sustainability and effectiveness of fiscal policies. By examining revenue trends, policymakers can make informed decisions on tax reforms, budget allocations, and debt management. For the public and investors, understanding government revenue is important for gauging the country's economic health and the government's ability to honor its financial commitments, which can affect economic stability and confidence in the market.","For most countries central government finance data have been consolidated into one account, but for others only budgetary central government accounts are available. Countries reporting budgetary data are noted in the country metadata. Because budgetary accounts may not include all central government units (such as social security funds), they usually provide an incomplete picture. In federal states the central government accounts provide an incomplete view of total public finance.





Data on government revenue and expense are collected by the IMF through questionnaires to member countries and by the Organisation for Economic Co-operation and Development (OECD). Despite IMF efforts to standardize data collection, statistics are often incomplete, untimely, and not comparable across countries.",https://datacatalog.worldbank.org/public-licenses#cc-by
