Country Name,Country Code,Series Name,Series Code,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Philippines,PHL,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.5418589321028,33.342477026471,33.5296231522963,32.4955467697789,33.8677871767936,35.7999723042539,37.0639368948665,39.8311355889025,43.956215418222,42.6289015627099,44.0522361452907,45.2615713119387,44.6193972369585,44.5675872093023,45.982843825926,45.8240621323998,43.8416175035731,45.7596669389295,45.9623493172097,44.3537525850915,44.7327852004111,47.581322101326,47.2050711626116,46.7772477284063,45.6595558766843,46.610446301932,46.5169486818253,45.5526937006065,40.3529962335306,41.1870013849509,41.7471302433092,38.5509826941577,38.4178255853853,40.9497730551168,..,..
United States,USA,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,85.9462680637632,87.5186042665785,88.8000589470582,89.9200963916545,89.0176743649627,86.1565217391304,86.7379038298297,86.7095676221879,86.6702420711343,87.9108684555119,88.5868981372064,89.6781354051054,89.3304496710823,90.3041262534934,89.826298753325,89.0785788463354,88.6236559139785,88.7714532308955,88.3124935413868,89.0943117341344,90.2312056892064,90.7034507229664,91.0365749979864,90.1310997815004,91.155434218542,90.9757287747219,89.6033718373031,89.5724921921475,89.7118763417629,91.0684010378427,91.8674068477545,92.5895693463858,91.9454402710065,90.2125928479699,91.3198716699175,92.0521948462257,91.8565513997833,91.7118177326162,91.898872404204,92.0790233933664,92.292691573182,82.81215732614,90.9262059206567,91.0234630493524,91.9548925168497,92.294644372264,92.8449921341847,92.9131779517794,93.3042166634362,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Reference period,Statistical concept and methodology,Development relevance,Limitations and exceptions,License URL
GC.TAX.YPKG.ZS,CC BY-4.0,"Taxes on income, profits and capital gains (% of total taxes)","Taxes on income, profits, and capital gains are taxes payable on the actual or presumed incomes, profits and capital gains. This indicator is expressed as a percentage of total taxes which includes all compulsory, unrequited payments, in cash or in kind, made by institutional units to government units.","Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",Public Sector: Government finance: Revenue,WB_WDI,%,Annual,1972-2024,"Methodology: Government Finance statistics are compiled in accordance with international standards: Government Finance Statistics Manual, 2014 or 2001 editions. Specific information on how countries compile their Government Finance statistics can be found on the IMF website: https://dsbb.imf.org/
Statistical concept(s): Government Financial Statistics are compiled within a conceptual and reporting framework suitable for analyzing and evaluating fiscal policy, especially the performance of the general government sector and the broader public sector of any economy.","This indicator is related to Government finance statistics. Government finance statistics provide a detailed snapshot of a government's fiscal operations and health. They encompass data on revenue, expenditures, deficits, and debt levels, which are essential for crafting fiscal policy, budget planning, and economic forecasting. These statistics help policymakers manage public finances effectively, make informed decisions on taxation and spending, and set priorities for resource allocation. For investors, analysts, and the international community, government finance statistics serve as key indicators of a country's economic stability and creditworthiness. They also play a crucial role in ensuring transparency and accountability, as they allow citizens and oversight bodies to track how public funds are managed and spent, fostering democratic engagement and governance. More specifically, this indicator is related to the revenue side of government finance statistics. The revenue side of government finance statistics provides insight into the government's income streams, which include taxes, fees, fines, and revenues from state-owned entities. This data is crucial for evaluating the government's financial capabilities to fund public services and infrastructure projects. It also helps determining the sustainability and effectiveness of fiscal policies. By examining revenue trends, policymakers can make informed decisions on tax reforms, budget allocations, and debt management. For the public and investors, understanding government revenue is important for gauging the country's economic health and the government's ability to honor its financial commitments, which can affect economic stability and confidence in the market.","For most countries central government finance data have been consolidated into one account, but for others only budgetary central government accounts are available. Countries reporting budgetary data are noted in the country metadata. Because budgetary accounts may not include all central government units (such as social security funds), they usually provide an incomplete picture. In federal states the central government accounts provide an incomplete view of total public finance.





Data on government revenue and expense are collected by the IMF through questionnaires to member countries and by the Organisation for Economic Co-operation and Development (OECD). Despite IMF efforts to standardize data collection, statistics are often incomplete, untimely, and not comparable across countries.",https://datacatalog.worldbank.org/public-licenses#cc-by
